1. Yazar: Angela McAllister ve Sevgi Atlıhan | 1 Ocak 2018 | Yayın Tarihi: 1 Ocak 2018 | Puan: 5.0 | Fiyat: 31,15 TL
73. Yazar: Mahir Ünsal Eriş | 26 Temmuz 2023 | Yayın Tarihi: 26 Temmuz 2023 | Puan: 5.0 | Fiyat: 211,25 TL

74. Yazar: Agatha Christie ve Çiğdem Öztekin | 31 Mayıs 2018 | Yayın Tarihi: 31 Mayıs 2018 | Puan: 5.0 | Fiyat: 137,29 TL

75. Yazar: [Yazar] Robert Sheckley | 1 Eylül 2021 | Yayın Tarihi: 1 Eylül 2021 | Puan: 5.0 | Fiyat: 108,00 TL

76. Yazar: Ciara Flood ve Ali Berktay | 14 Haziran 2019 | Yayın Tarihi: 14 Haziran 2019 | Puan: 5.0 | Fiyat: 43,13 TL

77. Yazar: Rebecca Finn ve Nevin Avan Özdemir | 1 Ocak 2011 | Yayın Tarihi: 1 Ocak 2011 | Puan: 5.0 | Fiyat: 180,00 TL

78. Yazar: Lewis Carrol | 13 Nisan 2017 | Yayın Tarihi: 13 Nisan 2017 | Puan: 5.0 | Fiyat: 23,96 TL

79. Yazar: Moliere ve Berna Günen | 1 Ocak 2016 | Yayın Tarihi: 1 Ocak 2016 | Puan: 5.0 | Fiyat: 45,52 TL

80. Yazar: Marianne Musgrove ve Doğanay Banu Pinter | 3 Haziran 2018 | Yayın Tarihi: 3 Haziran 2018 | Puan: 5.0 | Fiyat: 97,55 TL

81. Yazar: Lyman Frank Baum | 13 Nisan 2017 | Yayın Tarihi: 13 Nisan 2017 | Puan: 5.0 | Fiyat: 23,96 TL

82. Yazar: Fyodor Mihayloviç Dostoyevski ve Ergin Altay | 11 Temmuz 2018 | Yayın Tarihi: 11 Temmuz 2018 | Puan: 5.0 | Fiyat: 23,96 TL

83. Yazar: Julia Donaldson | 23 Mart 2017 | Yayın Tarihi: 23 Mart 2017 | Puan: 5.0 | Fiyat: 43,13 TL

84. Yazar: Liane Schneider ve Aylin Gergin | 12 Nisan 2017 | Yayın Tarihi: 12 Nisan 2017 | Puan: 5.0 | Fiyat: 38,34 TL

85. Yazar: Felix Salten ve Yonca Aşçı Dalar | 18 Mart 2019 | Yayın Tarihi: 18 Mart 2019 | Puan: 5.0 | Fiyat: 23,96 TL

86. Yazar: Oğuz Atay | 18 Mayıs 2016 | Yayın Tarihi: 18 Mayıs 2016 | Puan: 5.0 | Fiyat: 218,90 TL

87. Yazar: Agatha Christie ve Gönül Suveren | 1 Ocak 1999 | Yayın Tarihi: 1 Ocak 1999 | Puan: 5.0 | Fiyat: 134,34 TL

88. Yazar: Aka Akasaka ve Ayşe Büşra Kaya | 30 Ekim 2023 | Yayın Tarihi: 30 Ekim 2023 | Puan: 5.0 | Fiyat: 123,76 TL

89. Yazar: Saniye Bencik Kangal | 28 Temmuz 2021 | Yayın Tarihi: 28 Temmuz 2021 | Puan: 5.0 | Fiyat: 225,05 TL

90. Yazar: Susan Wise Bauer ve Mehmet Moralı | 28 Kasım 2013 | Yayın Tarihi: 28 Kasım 2013 | Puan: 5.0 | Fiyat: 563,85 TL

91. Yazar: Hüseyin Rahmi Gürpınar | 25 Mayıs 2021 | Yayın Tarihi: 25 Mayıs 2021 | Puan: 5.0 | Fiyat: 42,00 TL

92. Yazar: Ralf Butschkow ve Ayça Sabuncuoğlu | 1 Ocak 2013 | Yayın Tarihi: 1 Ocak 2013 | Puan: 5.0 | Fiyat: 38,34 TL

93. Yazar: Nihat Behram | 1 Ocak 2008 | Yayın Tarihi: 1 Ocak 2008 | Puan: 5.0 | Fiyat: 161,60 TL

94. Yazar: Ruth Redford ve Nevin Avan Özdemir | 20 Temmuz 2015 | Yayın Tarihi: 20 Temmuz 2015 | Puan: 5.0 | Fiyat: 122,17 TL

95. Yazar: Heather Amery | 1 Ocak 2013 | Yayın Tarihi: 1 Ocak 2013 | Puan: 5.0 | Fiyat: 175,00 TL

96. Yazar: J. K. Rowling ve Hazel Bilgen | 18 Ocak 2021 | Yayın Tarihi: 18 Ocak 2021 | Puan: 5.0 | Fiyat: 227,62 TL

97. Yazar: Rainer Maria Rilke ve Ahmet Cemal | 3 Haziran 2014 | Yayın Tarihi: 3 Haziran 2014 | Puan: 5.0 | Fiyat: 50,32 TL

98. Yazar: Byung-Chul Han | 29 Eylül 2019 | Yayın Tarihi: 29 Eylül 2019 | Puan: 5.0 | Fiyat: 116,84 TL

99. Yazar: Varol Yaşaroğlu | 1 Mart 2019 | Yayın Tarihi: 1 Mart 2019 | Puan: 5.0 | Fiyat: 220,74 TL

100. Yazar: Mike Barfield ve Selen Ak | 20 Ocak 2023 | Yayın Tarihi: 20 Ocak 2023 | Puan: 5.0 | Fiyat: 245,20 TL

